fac_name,course_code,rate_teach,rate_notes,rate_marks,rate_friend,number_of_reviews
A Felix,MAT1001,10.0,10.0,10.0,10.0,1.0
A Felix,MAT2001,8.3,6.9,8.4,6.0,5.0
Abdul Quadir Md,CSE2004,0.0,0.0,0.0,0.0,1.0
Abhishek Kumar Singh,MAT2001,1.0,1.5,6.0,2.5,1.0
Abhishek Kumar Singh,MAT2002,3.5,1.5,3.0,2.0,1.0
Ajit I,HUM1001,7.5,3.5,10.0,5.0,1.0
Ajitha B,PHY1701,5.7,9.0,6.6,5.1,5.0
Akaitab Mukherjee,ENG1901,9.0,6.0,8.0,5.5,1.0
Alamelu C,ENG1902,8.0,8.5,7.0,8.5,1.0
Alan G,ENG1902,1.0,1.5,1.0,0.0,1.0
Alan G,HUM1023,8.5,4.5,7.0,10.0,1.0
Alok Chauhan,CSE2002,8.0,2.0,2.0,3.0,1.0
Alok Chauhan,CSE2004,5.12,4.5,4.5,6.75,4.0
Amit Kumar Tyagi,CSE1001,1.75,1.62,3.88,3.25,4.0
Amit Kumar Tyagi,CSE1004,0.0,0.0,0.0,0.0,1.0
Amit Kumar Tyagi,CSE2002,1.0,0.5,0.0,0.5,1.0
Amit Kumar Tyagi,CSE2005,4.0,6.5,2.5,0.0,1.0
Amrit Pal,CSE1001,1.0,0.5,0.75,1.75,2.0
Angeline Ezhilarasi G,CSE1003,7.5,4.12,7.0,6.75,4.0
Anita X,CSE1901,1.0,8.5,6.0,8.0,1.0
Anita X,SWE1006,8.5,7.0,10.0,10.0,1.0
Anjali Gopakumar,HUM1021,5.0,5.0,3.5,7.5,1.0
Anuradha J,MAT2002,0.0,0.0,0.0,10.0,1.0
Anuradha J,MAT5015,10.0,7.5,10.0,5.0,1.0
Anusha K,CSE1001,5.5,8.0,10.0,3.5,1.0
Appalaraju Muralidhar,CSE1001,8.0,8.5,8.0,9.0,1.0
Appalaraju Muralidhar,CSE1003,10.0,10.0,7.0,7.0,1.0
Appalaraju Muralidhar,SWE1004,8.25,5.0,4.75,6.12,4.0
Arun Kumar Sivaraman,CSE2004,5.0,5.0,9.5,9.75,2.0
Arun Kumar Sivaraman,SWE2004,7.5,10.0,8.0,10.0,1.0
Asnath Victy Phamila Y,SWE1010,9.0,10.0,10.0,10.0,1.0
Atanu Dutta,PHY1701,10.0,9.0,9.0,8.5,1.0
Atanu Dutta,PHY1901,10.0,10.0,6.5,10.0,1.0
Ayesha SK,CSE1001,9.0,1.0,10.0,10.0,1.0
